epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
0,0.5167363882064819,0.9539401531219482,0.3333333432674408,1.1021804809570312,0.0010000000474974513
1,0.6025104522705078,0.8289989233016968,0.3333333432674408,1.137560486793518,0.0010000000474974513
2,0.6464434862136841,0.7655313014984131,0.3333333432674408,1.0736554861068726,0.0010000000474974513
3,0.6673640012741089,0.7409763932228088,0.3333333432674408,1.0392199754714966,0.0010000000474974513
4,0.6694560647010803,0.7163809537887573,0.3499999940395355,1.0201153755187988,0.0010000000474974513
5,0.6715481281280518,0.7026952505111694,0.3499999940395355,1.008912444114685,0.0010000000474974513
6,0.6966527104377747,0.6473901867866516,0.3499999940395355,1.0100971460342407,0.0010000000474974513
7,0.7112970948219299,0.6638355851173401,0.4000000059604645,1.0185333490371704,0.0010000000474974513
8,0.7384937405586243,0.6192594170570374,0.4333333373069763,1.0177174806594849,0.0010000000474974513
9,0.7364016771316528,0.6039554476737976,0.5833333134651184,0.9546283483505249,0.0010000000474974513
10,0.73221755027771,0.562987744808197,0.5666666626930237,0.9753185510635376,0.0010000000474974513
11,0.7866109013557434,0.5274969339370728,0.5666666626930237,0.9297529458999634,0.0010000000474974513
12,0.8117154836654663,0.4703720211982727,0.6000000238418579,0.9715726375579834,0.0010000000474974513
13,0.8326359987258911,0.40855422616004944,0.5666666626930237,0.9516845941543579,0.0010000000474974513
14,0.8410041928291321,0.36977726221084595,0.6333333253860474,0.882199227809906,0.0010000000474974513
15,0.8305439352989197,0.41352155804634094,0.6000000238418579,0.9210883378982544,0.0010000000474974513
16,0.8430962562561035,0.3684014678001404,0.5166666507720947,0.9082485437393188,0.0010000000474974513
17,0.7887029051780701,0.5356343388557434,0.550000011920929,0.930304229259491,0.0010000000474974513
18,0.8619247078895569,0.3787994086742401,0.6333333253860474,0.9810144901275635,0.0010000000474974513
19,0.9016736149787903,0.27262037992477417,0.6666666865348816,1.016016960144043,0.0010000000474974513
20,0.9079498052597046,0.26022595167160034,0.550000011920929,0.9925701022148132,0.0005000000237487257
21,0.9435146450996399,0.19789229333400726,0.5666666626930237,1.043494701385498,0.0005000000237487257
22,0.9539749026298523,0.15104515850543976,0.5833333134651184,1.1294116973876953,0.0005000000237487257
23,0.930962324142456,0.1779797077178955,0.5,1.3482075929641724,0.0005000000237487257
24,0.9623430967330933,0.14599880576133728,0.6333333253860474,1.0572640895843506,0.0005000000237487257
25,0.9686192274093628,0.12104819715023041,0.5166666507720947,1.278847098350525,0.0002500000118743628
26,0.9811715483665466,0.09291079640388489,0.6000000238418579,1.1255371570587158,0.0002500000118743628
